DataValue,LocationAbbr,Topic,YearEnd,YearStart,Percent
110.0,WI,Asthma,2016,2016,6.561375713863511e-05
21.0,ID,Asthma,2016,2016,0.00015786934717792377
66.0,TX,Asthma,2016,2016,3.860302123387258e-05
4097.0,OR,Chronic Obstructive Pulmonary Disease,2016,2016,0.005553839683733976
8872.0,RI,Chronic Obstructive Pulmonary Disease,2016,2016,0.022618032695651144
36.0,ID,Cardiovascular Disease,2016,2016,0.00027063316659072645
2654.0,IA,Cardiovascular Disease,2016,2016,0.002718553075835892
1165.0,VT,Cardiovascular Disease,2016,2016,0.0056230658644426034
58.0,AL,Diabetes,2016,2016,0.0001114851094817413
40353.0,MS,Diabetes,2016,2016,0.047076106886106445
5.5,NY,Alcohol,2016,2016,9.627970207145971e-07
41.3,IL,Alcohol,2016,2016,4.032135987134889e-05
43.0,US,Alcohol,2016,2016,2.668790217663905e-06
8.4,OR,Alcohol,2016,2016,1.1386930276633e-05
138.0,AR,Alcohol,2016,2016,0.00012725755126482847
519.0,LA,Alcohol,2016,2016,0.0012008112208612978
431.0,AZ,Alcohol,2016,2016,0.00022792766354403474
14.6,KY,Alcohol,2016,2016,6.54658563566026e-06
53.7,WA,Alcohol,2016,2016,4.545784262953693e-05
31.1,DE,Alcohol,2016,2016,0.0002446882392525412
52.8,LA,Alcohol,2016,2016,0.00012216345368299908
26.7,UT,Alcohol,2016,2016,0.00017746355134608762
197.0,GA,Alcohol,2016,2016,0.00027429480615405043
10.8,IN,Alcohol,2016,2016,1.679577433247372e-05
48.6,US,Alcohol,2016,2016,3.0163535948480414e-06
29.3,MD,Alcohol,2016,2016,1.592666835710404e-05
6.7,MD,Alcohol,2016,2016,3.641934402477716e-06
8.5,NJ,Alcohol,2016,2016,3.1716865141915566e-06
113.0,MT,Alcohol,2016,2016,0.0009332924666862081
59.1,MT,Alcohol,2016,2016,0.0004881202193022557
71.0,HI,Alcohol,2016,2016,0.000593135814651574
7.9,KY,Alcohol,2016,2016,3.542330583679182e-06
56.9,WY,Alcohol,2016,2016,0.0006966616439280306
10.5,MA,Alcohol,2016,2016,7.124711762152042e-06
12.7,OK,Alcohol,2016,2016,2.870338860679334e-05
55.6,NY,Alcohol,2016,2016,9.733002609405745e-06
55.0,MI,Alcohol,2016,2016,1.9528882816455765e-05
69.2,NY,Alcohol,2016,2016,1.2113737060627295e-05
78.7,RI,Alcohol,2016,2016,0.00020063561464695053
506.0,IL,Alcohol,2016,2016,0.000494009881232507
7.7,OH,Alcohol,2016,2016,6.678409623654184e-06
17.3,CA,Alcohol,2016,2016,8.038425980846996e-06
