"DataValue","LocationAbbr","Topic","YearEnd","YearStart","Percent"
110,"WI","Asthma",2016,2016,6.56137571386352e-05
21,"ID","Asthma",2016,2016,0.000157869347177924
66,"TX","Asthma",2016,2016,3.86030212338726e-05
4097,"OR","Chronic Obstructive Pulmonary Disease",2016,2016,0.00555383968373396
8872,"RI","Chronic Obstructive Pulmonary Disease",2016,2016,0.0226180326956511
36,"ID","Cardiovascular Disease",2016,2016,0.000270633166590726
2654,"IA","Cardiovascular Disease",2016,2016,0.00271855307583589
1165,"VT","Cardiovascular Disease",2016,2016,0.00562306586444261
58,"AL","Diabetes",2016,2016,0.000111485109481741
40353,"MS","Diabetes",2016,2016,0.0470761068861064
5.5,"NY","Alcohol",2016,2016,9.62797020714598e-07
41.3,"IL","Alcohol",2016,2016,4.03213598713489e-05
43,"US","Alcohol",2016,2016,2.6687902176639e-06
8.4,"OR","Alcohol",2016,2016,1.1386930276633e-05
138,"AR","Alcohol",2016,2016,0.000127257551264829
519,"LA","Alcohol",2016,2016,0.0012008112208613
431,"AZ","Alcohol",2016,2016,0.000227927663544035
14.6,"KY","Alcohol",2016,2016,6.54658563566026e-06
53.7,"WA","Alcohol",2016,2016,4.54578426295369e-05
31.1,"DE","Alcohol",2016,2016,0.000244688239252541
52.8,"LA","Alcohol",2016,2016,0.000122163453682999
26.7,"UT","Alcohol",2016,2016,0.000177463551346088
197,"GA","Alcohol",2016,2016,0.00027429480615405
10.8,"IN","Alcohol",2016,2016,1.67957743324737e-05
48.6,"US","Alcohol",2016,2016,3.01635359484804e-06
29.3,"MD","Alcohol",2016,2016,1.5926668357104e-05
6.7,"MD","Alcohol",2016,2016,3.64193440247771e-06
8.5,"NJ","Alcohol",2016,2016,3.17168651419156e-06
113,"MT","Alcohol",2016,2016,0.000933292466686208
59.1,"MT","Alcohol",2016,2016,0.000488120219302256
71,"HI","Alcohol",2016,2016,0.000593135814651574
7.9,"KY","Alcohol",2016,2016,3.54233058367918e-06
56.9,"WY","Alcohol",2016,2016,0.00069666164392803
10.5,"MA","Alcohol",2016,2016,7.12471176215204e-06
12.7,"OK","Alcohol",2016,2016,2.87033886067934e-05
55.6,"NY","Alcohol",2016,2016,9.73300260940575e-06
55,"MI","Alcohol",2016,2016,1.95288828164558e-05
69.2,"NY","Alcohol",2016,2016,1.21137370606273e-05
78.7,"RI","Alcohol",2016,2016,0.00020063561464695
506,"IL","Alcohol",2016,2016,0.000494009881232507
7.7,"OH","Alcohol",2016,2016,6.6784096236542e-06
17.3,"CA","Alcohol",2016,2016,8.038425980847e-06
4.7,"NC","Alcohol",2016,2016,1.35126326670275e-06
48.1,"CT","Alcohol",2016,2016,0.000154097781994696
20.2,"VA","Alcohol",2016,2016,3.2438596026089e-05
52.8,"HI","Alcohol",2016,2016,0.000441092549487368
108,"IA","Alcohol",2016,2016,0.000110626877238235
26,"CO","Alcohol",2016,2016,3.36962553960503e-05
10.8,"MO","Alcohol",2016,2016,1.79473523392803e-05
8.3,"NH","Alcohol",2016,2016,6.06380200970471e-05
7.8,"IL","Alcohol",2016,2016,7.61517208224023e-06
12.5,"CO","Alcohol",2016,2016,1.62001227865626e-05
21.8,"NM","Alcohol",2016,2016,0.000116663022285099
16.6,"OR","Alcohol",2016,2016,2.25027431657271e-05
70,"WI","Alcohol",2016,2016,4.17542090882224e-05
5.7,"MN","Alcohol",2016,2016,4.76916580688507e-06
477,"CO","Alcohol",2016,2016,0.00061819668553523
9,"AR","Alcohol",2016,2016,8.29940551727143e-06
3413,"CA","Alcohol",2016,2016,0.00158584669783993
272,"NY","Alcohol",2016,2016,4.7614689024431e-05
10,"KS","Alcohol",2016,2016,3.82787837697344e-05
747,"AZ","Alcohol",2016,2016,0.000395039361177248
398,"OR","Alcohol",2016,2016,0.000539523601202372
9.4,"IA","Alcohol",2016,2016,9.62863561147601e-06
6.7,"AZ","Alcohol",2016,2016,3.54319105741307e-06
12.4,"ND","Alcohol",2016,2016,0.000132445153287107
3.7,"GA","Alcohol",2016,2016,5.15172986177658e-06
3.7,"IL","Alcohol",2016,2016,3.61232521849857e-06
16.2,"AR","Alcohol",2016,2016,1.49389299310886e-05
262,"CT","Alcohol",2016,2016,0.000839368375937846
24,"MD","Alcohol",2016,2016,1.30457351730545e-05
17,"AZ","Alcohol",2016,2016,8.99018626507794e-06
31,"OK","Alcohol",2016,2016,7.00633895126453e-05
8.2,"NV","Alcohol",2016,2016,8.94737240659592e-06
64.3,"PA","Alcohol",2016,2016,5.18212046582895e-05
9.2,"MI","Alcohol",2016,2016,3.26664948929805e-06
118,"AL","Alcohol",2016,2016,0.000226814533083543
27.5,"NM","Alcohol",2016,2016,0.000147166656552304
13.1,"IN","Alcohol",2016,2016,2.03726521995746e-05
587,"MO","Alcohol",2016,2016,0.000975471835477552
8.4,"MO","Alcohol",2016,2016,1.39590518194403e-05
50,"DC","Alcohol",2016,2016,0.000325531302894767
53.5,"WY","Alcohol",2016,2016,0.000655033355890151
52.5,"OK","Alcohol",2016,2016,0.000118655740303673
10.9,"DC","Alcohol",2016,2016,7.09658240310593e-05
424,"FL","Alcohol",2016,2016,5.52352390080054e-05
50.8,"TX","Alcohol",2016,2016,2.97126284648595e-05
53.7,"CO","Alcohol",2016,2016,6.9595727491073e-05
262,"NM","Alcohol",2016,2016,0.00140209687333467
4.7,"HI","Alcohol",2016,2016,3.92639201248225e-05
36.1,"AK","Alcohol",2016,2016,0.000474079288119389
7,"NC","Alcohol",2016,2016,2.012519758919e-06
44,"WA","Alcohol",2016,2016,3.72466494543692e-05
7.1,"OH","Alcohol",2016,2016,6.15801406856426e-06
48.8,"NM","Alcohol",2016,2016,0.000261153921445542
13.1,"LA","Alcohol",2016,2016,3.03094932433198e-05
7.9,"DE","Alcohol",2016,2016,6.21555334435716e-05
49.6,"PA","Alcohol",2016,2016,3.99740552263011e-05
48.5,"WI","Alcohol",2016,2016,2.89297020111255e-05
17.5,"ME","Alcohol",2016,2016,6.03854294996487e-05
11.4,"IA","Alcohol",2016,2016,1.16772814862581e-05
9.3,"MA","Alcohol",2016,2016,6.31045898933467e-06
219,"MN","Alcohol",2016,2016,0.000183236370475058
12,"ND","Alcohol",2016,2016,0.000128172728987523
6.8,"MS","Alcohol",2016,2016,7.93293006283359e-06
13.4,"OH","Alcohol",2016,2016,1.16221673970086e-05
74,"ME","Alcohol",2016,2016,0.000255344101884229
389,"OK","Alcohol",2016,2016,0.000879182532916742
106,"NH","Alcohol",2016,2016,0.000774413268709276
58,"AK","Alcohol",2016,2016,0.00076167863465165
53.1,"DE","Alcohol",2016,2016,0.000417779598209323
5.9,"GA","Alcohol",2016,2016,8.2149205904005e-06
10.7,"ME","Alcohol",2016,2016,3.69213768940709e-05
64.9,"MI","Alcohol",2016,2016,2.30440817234178e-05
43,"OR","Alcohol",2016,2016,5.82902383208593e-05
7.9,"MN","Alcohol",2016,2016,6.60989646919159e-06
9.5,"HI","Alcohol",2016,2016,7.93632428054923e-05
99,"OK","Alcohol",2016,2016,0.000223750824572641
81,"HI","Alcohol",2016,2016,0.000676676070236302
13.2,"GA","Alcohol",2016,2016,1.83791443717435e-05
14.9,"AZ","Alcohol",2016,2016,7.87963384409773e-06
122,"ID","Alcohol",2016,2016,0.000917145731224128
14.9,"ND","Alcohol",2016,2016,0.000159147805159508
63,"ND","Alcohol",2016,2016,0.000672906827184496
16.3,"FL","Alcohol",2016,2016,2.12343017884549e-06
17.1,"MT","Alcohol",2016,2016,0.000141232753808267
9.7,"DE","Alcohol",2016,2016,7.63175537218537e-05
13.6,"MI","Alcohol",2016,2016,4.82896011461452e-06
343,"NM","Alcohol",2016,2016,0.001835569570816
43,"AK","Alcohol",2016,2016,0.00056469278086243
666,"AZ","Alcohol",2016,2016,0.000352203767796583
40.6,"AK","Alcohol",2016,2016,0.000533175044256155
43.8,"WV","Alcohol",2016,2016,6.72878781901367e-05
482,"CO","Alcohol",2016,2016,0.000624676734649855
316,"KS","Alcohol",2016,2016,0.00120960956712361
16.1,"AL","Alcohol",2016,2016,3.09467286664834e-05
6.3,"MA","Alcohol",2016,2016,4.27482705729123e-06
561,"IN","Alcohol",2016,2016,0.000872447166714607
